"M27,nebula,planetary,central white dwarf has the largest known radius in its stellar class,vulpecula,19h 59m 36.340s,+22å¡43‰Ûª16.09‰Û,""1,360 light years (417 parsecs)"",7.5,-0.6,8‰Û_ x 5‰Û_.6,1.44 light years,,,,,,,,,,,,,,,1764.0,Messier";
"M28,cluster,globular,milisecond pulsars,sagittarius,18h 24m 32.89s,-24å¡52‰Ûª11.4‰Û,""17,900 light years (5,500 parsecs)"",+7.66,,11‰Û_.2,30 light years,iv,12 billion years,"">50,000"",,,,,,,,,,,,1764.0,Messier";
"M29,cluster,open,nebulosity,cygnus,20h 23m 56s,+38å¡31.4‰Û_,""4,000 light years (1,226 parsecs)"",7.1,,7‰Û_,5.5 light years,,10 million years,50,,,,,,,,,,,,1764.0,Messier";
"M3,cluster,globular,,canes venatici,13h 42m 11.62s,+28å¡22‰Ûª38.2‰Û,""33,900 light years (10.4 kiloparsecs)"",+6.2,-8.93,18‰Û_.0,90 light years,vi,11.39 billion years,""500,000"",113 light years (30 parsecs),,,,,,,,,,,1764.0,Messier";
"M30,cluster,globular,,capricornus,21h 40m 22.12s,-23å¡10‰Ûª47.5‰Û,""27,140 light years (8,300 parsecs)"",+7.7,,12‰Û_,46.5 light years,v,12.93 billion years,""150,000"",18.34‰Û_ (139 light years),""160,000 solar masses"",,,,,,,,,,1764.0,Messier";
"M31,galaxy,spiral,,andromeda,00h 42m 44.3s,+41å¡16‰Ûª9‰Û,""2.54 million light years (778,000 parsecs)"",+3.44,-21.5,190‰Û_ x 60‰Û_,,sa(s)b,,1 trillion,,,""220,000 light years (linear diameter)"",-0.001001,-301 km/s,,,,,,,,";
"M32,galaxy,dwarf elliptical,satellite galaxy of m31,andromeda,00h 42m 41.8s,+40å¡51‰Ûª55‰Û vv,""2.49 million light years (763,000 parsecs)"",8.08,,8‰Û_.7 x 6‰Û_.5,""3,275ÌÑ2,500 light years"",ce2,,,,,,-200 km/s,,,,,,,,1749.0,Le Gentil";
"M33,galaxy,spiral,,triangulum,01h 33m 50.02s,+30å¡39‰Ûª36.7‰Û,""2.38 to 3.07 million light years (730,000 to 940,000 parsecs)"",+5.72,,70‰Û_.8 x 41‰Û_.7,,sa(s)cd,,40 billion,,,""60,000 light years (diameter)"",-0.000607,-179 km/s,-44 km/s,,,,,,1764.0,Messier";
"M34,cluster,open,,perseus,02h 42.1m,+42å¡46‰Û_,""1,500 light years (470 parsecs)"",+5.5,,35‰Û_,7 light years,,200 to 250 million years,100,,,,,,,,,,,,1764.0,Messier";
"M35,cluster,open,,gemini,06h 09.1m,+24å¡21‰Û_,""2,800 light years (850 parsecs)"",+5.30,,28‰Û_,11 light years,,110 million years,500,,,,,,,,,,,,1746.0,ChÌ©seaux";
"M36,cluster,open,,auriga,5h 36m 12s,+34å¡08‰Ûª04‰Û,""4,100 light years (1,300 parsecs)"",6.3,,12‰Û_,,,25 million years,>60,,,,,,,14 light years,,,,,1654.0,Hodierna";
"M37,cluster,open,,auriga,5h 52m 18s,+32å¡33‰Ûª02‰Û,""4,511 light years (1,383 parsecs)"",+6.2,,24‰Û_,20 to 25 light years,,346.7 to 550 million years,>500,46 to 59 light years (14 to 18 parsecs),,,,,,,,,,,1654.0,Hodierna";
"M38,cluster,open,,auriga,05h 28m 42s,+35å¡51‰Ûª18‰Û,""4,200 light years (1,300 parsecs)"",+7.4,,21‰Û_,25 light years,,220 million years,,,,,,,,,,,,,1654.0,Hodierna";
M39,cluster,open,,cygnus,21h 31m 42s,+48å¡25‰Û_,824.4 light years (252.8 parsecs),+5.5,-2.5,32‰Û_,3.6 light years,,200 to 300 million years,>30,,,,,,,,,,,,1750.0,Le Gentil;
"M4,cluster,globular,proximity to the bright red supergiant antares,scorpius,16h 23m 35.22s,-26å¡31‰Ûª32.7‰Û,""7,200 light years (2,200 parsecs)"",+5.9,,26‰Û_,35 light years,ix,12.2 billion years,"">20,000"",70 light years,,,,,,,,,,,1746.0,ChÌ©seaux";
"M40,double star,,,ursa major,12h 22m 12.5s,+58å¡4‰Ûª59‰Û,510 light years (156 parsecs),""+9.65, +10.10"",,,,,,,,,,,,,,""g0, f8"",,,,1660.0,Hevelius";
"M41,cluster,open,,canis major,06h 46.0m,-20å¡46‰Û_,""2,300 light years (710 parsecs)"",+4.5,,38‰Û_,12.5 light years,,190 to 240 million years,100,,,,,,,,,,,,1654.0,Hodierna";
"M42,nebula with open cluster,emission/reflection,trapezium cluster,orion,05h 35m 17.3s,-05å¡23‰Ûª28‰Û,""1,344 light years (412 parsecs)"",+4.0,,65‰Û_ x 60‰Û_,12 light years,,,,,,,,,,,,,,,1610.0,Peiresc";
"M43,nebula with open cluster type,emission/reflection,open cluster,orion,05h 35.6m,-05å¡16‰Û_,""1,600 light years (490 parsecs)"",+9.0,,20‰Û_ x 15‰Û_,4.5 light years,,,,,,,,,,,,,,,1750.0,Mairan";
"M44,cluster,open,,cancer,08h 40.4m,19å¡59‰Û_,577 light years (177 parsecs),+3.7,,95‰Û_,8 light years,,600 to 700 million years,"">1,000"",39 light years (12 parsecs),,,,,,,,,,,,";
"M45,cluster,open,""maia nebula, merope nebula"",taurus,03h 47m 24s,+24å¡07‰Û_,444 light years (136.2 parsecs),+1.6,,110‰Û_,8 light years,,115 million years,"">1,000"",43 light years,,,,,,,,,,,,";
"M46,cluster,open,superimposed planetary nebula ngc 2438,puppis,07h 41.8m,-14å¡49‰Û_,""5,400 light years (1,700 parsecs)"",+6.1,,27‰Û_,15 light years,,300 million years,500,,,,,,,,,,,,1771.0,Messier";
"M47,cluster,open,,puppis,07h 36.6m,-14å¡30‰Û_,""1,600 light years (490 parsecs)"",+4.2,,30‰Û_,6 light years,,78 million years,50,,,,,,,,,,,,1654.0,Hodierna";
"M48,cluster,open,,hydra,08h 13.7m,-05å¡45‰Û_,""1,500 light years (460 parsecs)"",+5.5,,54‰Û_,11.5 light years,,300 million years,>80,,,,,,,,,,,,1771.0,Messier";
"M49,galaxy,elliptical,,virgo,12h 29m 46.7s,+08å¡00‰Ûª02‰Û,55.9 million light years (17.14 megaparsecs),+9.4,-22.8,10.2 x 8.3 arc minutes,,e2,,>200 billion,,,,0.003326,,,,,""157,000 light years"",997 km/s,929 km/s,1771.0,Messier";
"M5,cluster,globular,,serpens,15h 18m 33.22s,+02å¡04‰Ûª51.7‰Û,""24,500 light years (7,500 parsecs)"",+6.65,,23‰Û_,80 light years,v,13 billion years,"">100,000"",200 light years,,,,,,,,,,,1702.0,Kirch";
"M50,cluster,open,,monoceros,07h 03.2m,-08å¡20‰Û_,""3,200 light years (1,000 parsecs)"",+5.9,,16‰Û_,10 light years,,78 million years,>100,,,,,,,,,,,,1710.0,Cassini";
"M51,galaxy,spiral,interacting with smaller galaxy ngc 5195,canes venatici,13h 29m 52.7s,+47å¡11‰Ûª43‰Û,23 million light years (7.1 megaparsecs),+8.4,,11‰Û_.2 x 6‰Û_.9,,sa(s)bc pec,,> 100 billion,,,,,,,,,""60,000 light years"",,,1773.0,Messier";
